Timestamp,company,term,salary,bonus,year,location
09/07/2021 11:22:41,Genetec,2nd,23,0,2021,Montreal
09/07/2021 12:48:53,Diabsolut,1st,17,0,2021,West Island
09/07/2021 16:48:16,Genetec,1st,21,0,2021,St-Laurent
09/07/2021 16:49:35,Desjardins,1st,24.5,0,2021,Montreal
09/07/2021 16:50:21,Genetec,2nd,22,0,2021,St-Laurent
09/07/2021 18:30:47,Squarepoint capital,3rd,45,0,2021,Montreal
14/07/2021 11:38:28,Microdrones,1st,20,0,2021,Vaudreuil Dorion
14/07/2021 15:06:56,Ciena,1st,25,0,2021,Ottawa
14/07/2021 15:25:13,Rio Tinto Fer et Titane,1st,23,0,2021,Sorel-Tracy
15/07/2021 00:23:16,Nuance Communications,1st,23,0,2021,Montreal
25/07/2021 17:18:49,Matrox,1st,21,0,2021,Montreal
04/08/2021 14:52:26,Bombardier,1st,19,0,2021,Montreal
21/08/2021 09:11:50,Ceridian,3rd,32,0,2021,Toronto
21/08/2021 17:02:06,Genetec,1st,21,0,2021,Montreal
23/09/2021 15:17:05,Epic Games,2nd,36,5000,2021,Montreal
23/09/2021 20:16:48,Hydro-Quebec,2nd,22,0,2021,Montreal
28/09/2021 13:50:35,Shared Service Canada,1st,16.5,0,2021,Remote
29/09/2021 21:34:17,Desjardins ,1st,25.19,0,2021,Montreal
30/09/2021 10:37:39,Matrox,2nd,20,0,2021,West Island
30/09/2021 12:44:48,Matrox,1st,18,0,2021,Dorval
01/10/2021 17:37:09,Unity,2nd,31.5,0,2020,Montreal
01/10/2021 17:37:27,Unity,3rd,34,0,2021,Montreal
03/10/2021 23:44:12,Coveo,1st,21,0,2021,Montreal
04/10/2021 19:03:38,Morgan Stanley,3rd,32,2000,2021,Montreal
12/10/2021 19:14:22,Genetec,1st,21,0,2021,Montreal
14/10/2021 19:22:20,Mercer,1st,28.57,0,2021,Montreal
22/11/2021 13:13:29,Amazon,2nd,46.93,0,2022,Vancouver
23/11/2021 15:27:27,Purpose Financial ,2nd,21,0,2022,Montreal
07/12/2021 15:40:25,PWC,1st,19,0,2018,South Shore
16/12/2021 11:45:19,Intact,3rd,31.71,0,2021,Montreal
19/12/2021 19:40:24,CAE,1st,20,0,2021,Montreal
07/01/2022 15:43:07,Matrox,1st,19,0,2021,Montreal
11/01/2022 14:30:36,CAE,1st,19.15,0,2021,Montreal
