company,year,salary,university,term,location,bonus,role,arrangement
Cockroach Labs,2023,69.0,University of Waterloo,,,1500.0,Unreported,
CodeWithChris,2023,20.0,University of Waterloo,1.0,,0.0,Unreported,
Cohere,2023,35.0,University of Waterloo,,,0.0,Unreported,
Cohesity,2023,49.0,University of Waterloo,,,0.0,Unreported,
Coinbase,2023,50.0,University of Waterloo,,,0.0,Unreported,
Coinsquare,2023,28.0,University of Waterloo,1.0,,0.0,Unreported,
Coinsquare,2024,44.0,University of Waterloo,5.0,,0.0,Unreported,
Composer.trade,2024,77.63,University of Waterloo,,,2760.0,Unreported,
Compound,2024,87.98,University of Waterloo,,,0.0,Unreported,
Connected,2023,37.0,University of Waterloo,6.0,,0.0,Unreported,
Constant Contact,2023,35.0,University of Waterloo,4.0,,0.0,Unreported,
The Co-operators,2024,21.0,University of Waterloo,1.0,,0.0,Unreported,
Core Avionics,2022,20.0,University of Waterloo,1.0,,0.0,Unreported,
Core Avionics,2023,30.0,University of Waterloo,,,0.0,Unreported,
Coursera,2022,60.38,University of Waterloo,,,0.0,Unreported,
Cover Technologies Inc,2022,41.4,University of Waterloo,,,0.0,Unreported,
CPP Investments,2024,37.0,University of Waterloo,2.0,,2800.0,Software Engineer,
CPP Investments,2024,34.0,University of Waterloo,3.0,,0.0,Intern Engineer,
CPP Investments,2024,48.0,University of Waterloo,4.0,,0.0,Intern Analyst,
Crawford and Co,2022,20.0,University of Waterloo,,,0.0,Business Analyst,
Cresta,2025,40.0,University of Waterloo,5.0,,0.0,Unreported,
Creospark,2023,18.0,University of Waterloo,,,0.0,Unreported,
Crypto4a,2024,40.0,University of Waterloo,6.0,,0.0,Software Engineer,
Cube Group,2024,103.5,University of Waterloo,,,0.0,Unreported,
Curinos,2024,34.0,University of Waterloo,3.0,,0.0,Unreported,
D2L,2022,28.0,University of Waterloo,,,0.0,Unreported,
Databrick,2023,55.0,University of Waterloo,,,7176.0,Unreported,
Datadog,2022,40.0,University of Waterloo,,,11040.0,Unreported,
data.world,2022,48.3,University of Waterloo,,,552.0,Unreported,
Deep Genomics,2022,28.85,University of Waterloo,,,0.0,Unreported,
DeepHaven,2024,35.0,University of Waterloo,,,0.0,Unreported,
Deloitte,2022,26.5,University of Waterloo,,,0.0,Unreported,
Digital Extremes,2024,20.0,University of Waterloo,2.0,,0.0,Marketing,
DocuSign,2022,52.0,University of Waterloo,,,0.0,Unreported,
Draper,2022,35.0,University of Waterloo,,,0.0,Unreported,
Dreamschools,2022,21.5,University of Waterloo,,,0.0,Unreported,
Dropbase,2024,37.5,University of Waterloo,,,0.0,Unreported,
Dropbase,2022,29.0,University of Waterloo,3.0,,0.0,Unreported,
Dropbase,2022,31.0,University of Waterloo,5.0,,0.0,Unreported,
DRW,2024,36.0,University of Waterloo,,,0.0,Unreported,
Durovac,2024,23.0,University of Waterloo,4.0,,0.0,Unreported,
Ecobee,2024,38.5,University of Waterloo,4.0,,0.0,Unreported,
Ecobee,2024,43.0,University of Waterloo,5.0,,0.0,Unreported,
Ecompliance,2024,26.0,University of Waterloo,4.0,,0.0,Unreported,
Elekta,2022,27.0,University of Waterloo,2.0,,0.0,Unreported,
Embark Trucks,2024,86.25,University of Waterloo,,,0.0,Unreported,
Enzuzo,2024,28.0,University of Waterloo,3.0,,0.0,Fullstack,
The Empire Life Insurance Company,2024,25.0,University of Waterloo,,,0.0,Unreported,
Enlighted Inc,2022,36.0,University of Waterloo,5.0,,0.0,Unreported,
Eon Media,2024,32.78,University of Waterloo,4.0,,0.0,Unreported,
Equifax D&A,2022,22.0,University of Waterloo,1.0,,0.0,Unreported,
Equitable Life Insurance Company,2023,20.0,University of Waterloo,,,0.0,Unreported,
Equitable Life Insurance Company,2024,23.0,University of Waterloo,2.0,,0.0,Unreported,
ESCRYPT,2023,26.0,University of Waterloo,3.0,,0.0,Unreported,
ESCRYPT,2022,30.0,University of Waterloo,4.0,,0.0,Unreported,
eSentire,2024,24.5,University of Waterloo,,,0.0,Unreported,
ETHGlobal,2024,77.63,University of Waterloo,,,2760.0,Unreported,
EY,2022,28.0,University of Waterloo,3.0,,0.0,Unreported,
Faire,2024,44.0,University of Waterloo,5.0,,0.0,Engineering,
Fleet Complete,2023,26.0,University of Waterloo,3.0,,0.0,Unreported,
Fleet Complete,2022,32.0,University of Waterloo,5.0,,0.0,Unreported,
Fleet Labs,2024,26.0,University of Waterloo,,,0.0,Unreported,
Flex AI,2024,43.13,University of Waterloo,,,0.0,Unreported,
The Flight Deck,2023,23.0,University of Waterloo,,,0.0,Unreported,
Flipp,2022,27.05,University of Waterloo,,,0.0,Unreported,
Float,2024,50.0,University of Waterloo,,,0.0,Unreported,
Ford,2024,31.0,University of Waterloo,,,0.0,Software Engineer,
Forethought AI,2023,60.38,University of Waterloo,,,0.0,Unreported,
Freshbooks,2024,33.0,University of Waterloo,5.0,,0.0,Unreported,
Freshbooks,2024,33.65,University of Waterloo,,,0.0,Unreported,
Friendlier,2024,17.0,University of Waterloo,4.0,,0.0,Unreported,
Fuego Studios,2024,35.0,University of Waterloo,1.0,,0.0,Unreported,
Geotab,2022,30.0,University of Waterloo,3.0,,0.0,Unreported,
Get ResQ,2024,43.0,University of Waterloo,5.0,,0.0,Unreported,
Green Infrastructure Program,2024,31.0,University of Waterloo,6.0,,0.0,Unreported,
Glu,2022,30.0,University of Waterloo,4.0,,0.0,Unreported,
Glu,2024,25.0,University of Waterloo,2.0,,0.0,Unreported,
GoDaddy,2024,59.34,University of Waterloo,,,0.0,Unreported,
Google,2023,58.65,University of Waterloo,,,8280.0,Unreported,
groq,2024,37.0,University of Waterloo,1.0,,0.0,Unreported,
groq,2022,38.5,University of Waterloo,,,0.0,Unreported,
groq,2022,42.0,University of Waterloo,6.0,,0.0,Unreported,
Gsoft,2023,40.0,University of Waterloo,4.0,,0.0,Unreported,
H2Analytics,2024,23.0,University of Waterloo,,,0.0,Unreported,
Halp,2024,38.0,University of Waterloo,3.0,,0.0,Unreported,
Hatch Credit,2023,73.32,University of Waterloo,,,0.0,Unreported,
Havas CX,2024,30.0,University of Waterloo,4.0,,0.0,Software Engineering,
HeadSpin,2024,32.0,University of Waterloo,3.0,,0.0,Unreported,
Healthcare Systems R&A,2023,18.0,University of Waterloo,,,0.0,Unreported,
High Q Technologies,2024,25.0,University of Waterloo,3.0,,0.0,Unreported,
Hockeystick,2022,21.0,University of Waterloo,1.0,,0.0,Unreported,
Home Depot,2024,20.0,University of Waterloo,2.0,,0.0,Dev,
HomeX,2024,30.0,University of Waterloo,,,0.0,Unreported,
HomeX,2023,33.0,University of Waterloo,3.0,,0.0,Unreported,
HOOPP (Health Care of Ontario Pension Plan),2023,22.25,University of Waterloo,2.0,,0.0,Unreported,
Horizon Studio,2023,27.0,University of Waterloo,3.0,,0.0,Unreported,
