company,year,salary,university,term,location,bonus,role,arrangement
TOOLBX,2023,45.0,University of Waterloo,6.0,,0.0,Unreported,
Toronto Stock Exchange (TSX),2024,25.0,University of Waterloo,2.0,,0.0,Unreported,
Tophat,2024,32.0,University of Waterloo,,,0.0,Unreported,
TTC (Toronto Transit Commission),2024,27.65,University of Waterloo,6.0,,0.0,Unreported,
Trend Micro,2024,33.0,University of Waterloo,3.0,,0.0,Software Engineer,
Tribalscale,2022,25.0,University of Waterloo,,,0.0,Unreported,
Trustwave Holdings,2022,25.0,University of Waterloo,3.0,,0.0,Unreported,
Tulip Retail,2022,20.0,University of Waterloo,2.0,,0.0,Unreported,
Tulip Retail,2022,25.0,University of Waterloo,4.0,,0.0,Unreported,
Tulip Retail,2023,30.0,University of Waterloo,6.0,,0.0,Unreported,
TutorOcean,2022,20.0,University of Waterloo,,,0.0,Unreported,
Twitter,2024,40.0,University of Waterloo,,,5520.0,Unreported,
Twitter,2024,41.25,University of Waterloo,,,16560.0,Unreported,
Uber,2022,44.0,University of Waterloo,,,8280.0,Unreported,
Ubisoft,2022,29.33,University of Waterloo,3.0,,0.0,Unreported,
UHN,2023,20.0,University of Waterloo,,,0.0,DATA Team,
Ultimate Software,2024,31.0,University of Waterloo,,,0.0,Unreported,
Ultimate Software,2024,33.0,University of Waterloo,3.0,,0.0,Unreported,
UBS,2023,24.0,University of Waterloo,2.0,,0.0,Unreported,
Untether AI,2024,22.5,University of Waterloo,,,0.0,Unreported,
Uplift,2023,38.0,University of Waterloo,,,0.0,Unreported,
Veeva Systems,2023,35.0,University of Waterloo,,,0.0,Unreported,
Vendia,2023,75.9,University of Waterloo,,,0.0,Unreported,
Veriday,2023,20.0,University of Waterloo,1.0,,0.0,Unreported,
Versa Networks,2023,55.0,University of Waterloo,5.0,,0.0,Unreported,
Versett,2023,28.5,University of Waterloo,2.0,,0.0,Unreported,
VerticalScope,2022,30.0,University of Waterloo,4.0,,0.0,Unreported,
Vidyard,2023,33.0,University of Waterloo,4.0,,0.0,Unreported,
Voiceflow,2024,47.5,University of Waterloo,,,0.0,Unreported,
Voiceform,2023,35.0,University of Waterloo,,,0.0,Unreported,
Voiceform,2024,30.0,University of Waterloo,3.0,,0.0,Unreported,
Waabi Innovation,2024,52.0,University of Waterloo,4.0,,3450.0,Unreported,
Wattpad,2023,38.98,University of Waterloo,2.0,,0.0,Unreported,
Wattpad,2022,35.0,University of Waterloo,4.0,,0.0,Unreported,
Wattpad,2023,37.0,University of Waterloo,6.0,,0.0,Unreported,
Wayfair,2023,66.24,University of Waterloo,3.0,,0.0,Unreported,
Wealthsimple,2022,64.26,University of Waterloo,4.0,,0.0,Unreported,
Wind River,2024,26.5,University of Waterloo,2.0,,0.0,Unreported,
Wind River,2022,28.0,University of Waterloo,,,0.0,Unreported,
Wish,2022,50.0,University of Waterloo,,,0.0,Unreported,
Wish,2022,44.0,University of Waterloo,2.0,,0.0,Unreported,
Wish,2024,78.5,University of Waterloo,5.0,,0.0,Unreported,
WSIB,2024,29.5,University of Waterloo,1.0,,0.0,Unreported,
WSIB,2022,30.25,University of Waterloo,2.0,,0.0,Unreported,
Xanadu,2022,30.0,University of Waterloo,1.0,,0.0,Unreported,
Yext,2023,69.0,University of Waterloo,,,6900.0,Unreported,
Yugabyte,2022,86.25,University of Waterloo,,,0.0,Unreported,
Yugabyte,2023,77.28,University of Waterloo,,,8280.0,Unreported,
Zenreach,2022,29.0,University of Waterloo,3.0,,0.0,Unreported,
Zighra,2023,40.0,University of Waterloo,,,0.0,Unreported,
Zynga,2024,31.0,University of Waterloo,,,0.0,Unreported,
